Sr. No.,State,Work,Work ID,IDA,Hon'ble Members of Parliament,Constituency,Expenditure Date,Vendor Name,Payment Status,Fund Disbursed Amount ( ₹ )
111,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/182258,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
112,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/182259,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
113,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/182263,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
114,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/182264,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
115,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/183845,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
116,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/182257,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
117,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/187588,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
118,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/187595,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
119,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171619,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
120,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171622,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
121,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171626,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
122,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171624,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
123,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171625,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
124,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/187362,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
125,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/186926,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
126,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/186942,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
127,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/187363,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
128,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/187364,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
129,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/187365,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
130,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/186925,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
131,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/186924,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
132,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184343,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
133,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184543,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
134,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/186921,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
135,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/186922,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
136,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184472,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
137,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184544,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
138,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/186923,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
139,Odisha,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18350/2025-2026/182265,BOUDH(District Collector Boudh_IDA),SUKANTA KUMAR PANIGRAHI,KANDHAMAL,17-Aug-26,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,3000
140,Karnataka,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18263/2025-2026/173840,CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR),KOTA SRINIVAS POOJARY,UDUPI CHIKMAGALUR,18-Aug-26,KRIDL BHUSIRI ACCOUNT WORKS,Payment In-Progress,75000
141,Odisha,Construction of public libraries and reading rooms,WS/MP300/2025-2026/199515,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),Smt Aparajita Sarangi,BHUBANESWAR,13-Aug-26,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,2923
142,Odisha,Construction of community centers and community halls,WS/MP18148/2025-2026/170300,NABARANGPUR(DISTRICT COLLECTOR NABARANGPUR_IDA),BALABHADRA MAJHI,NABARANGPUR(ST),24-Aug-26,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,500
143,Odisha,Construction of boundary walls of existing public and community buildings,WS/MP18148/2025-2026/198393,NABARANGPUR(DISTRICT COLLECTOR NABARANGPUR_IDA),BALABHADRA MAJHI,NABARANGPUR(ST),24-Aug-26,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,3000
144,Karnataka,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP337/2024-2025/159916,UDUPI(DEPUTY COMMISSIONER UDUPI_IDA),Shri B Y Raghavendra,SHIMOGA,20-Aug-26,KRIDL BHUSIRI ACCOUNT WORKS,Payment In-Progress,112286
145,Punjab,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP380/2025-2026/243217,LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA),Shri Amar Singh,FATEHGARH SAHIB(SC),21-Aug-26,VIKRANT CEMENT STORE,Payment In-Progress,47700
146,Punjab,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP380/2025-2026/243217,LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA),Shri Amar Singh,FATEHGARH SAHIB(SC),21-Aug-26,VIKRANT CEMENT STORE,Payment In-Progress,24520
147,West Bengal,Construction of stadiums,WS/MP18272/2026-2027/222318,Paschim Medinipur(DISTRICT MAGISTRATE PASCHIM MEDINIPUR_IDA),KALIPADA SAREN,JHARGRAM(ST),17-Aug-26,RAJAT SUBHRA MANDAL,Payment In-Progress,4881631
148,Kerala,Lighting of public spaces,WS/MP346/2025-2026/183300,THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA),Adv Adoor Prakash,ATTINGAL,24-Aug-26,ALLUMINA ELECTRONICS,Payment In-Progress,242517
149,Kerala,Lighting of public spaces,WS/MP346/2025-2026/243160,THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA),Adv Adoor Prakash,ATTINGAL,24-Aug-26,ALLUMINA ELECTRONICS,Payment In-Progress,242517
150,Kerala,Lighting of public spaces,WS/MP346/2025-2026/221340,THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA),Adv Adoor Prakash,ATTINGAL,24-Aug-26,ALLUMINA ELECTRONICS,Payment In-Progress,250064
151,Kerala,Lighting of public spaces,WS/MP346/2025-2026/183292,THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA),Adv Adoor Prakash,ATTINGAL,24-Aug-26,ALLUMINA ELECTRONICS,Payment In-Progress,242517
152,Punjab,Purchase of hospital equipment,WS/MP18314/2026-2027/273533,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,17-Aug-26,Medica Enterprises,Payment In-Progress,2092800
153,Kerala,Purchase of vans and buses for educational institutions,WS/MP18305/2026-2027/302713,MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA),E.T. MOHAMMED BASHEER,MALAPPURAM,24-Aug-26,SML ISUZU LTD,Payment In-Progress,1768000
154,Odisha,Construction of community centers and community halls,WS/MP300/2025-2026/226393,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),Smt Aparajita Sarangi,BHUBANESWAR,25-Aug-26,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,7000
155,Odisha,Construction of public irrigation facilities,WS/MP18150/2026-2027/272770,SAMBALPUR(DISTRICT COLLECTOR SAMBALPUR_IDA),DHARMENDRA PRADHAN,SAMBALPUR,25-Aug-26,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,7000
156,Odisha,Construction of public irrigation facilities,WS/MP18150/2026-2027/272840,SAMBALPUR(DISTRICT COLLECTOR SAMBALPUR_IDA),DHARMENDRA PRADHAN,SAMBALPUR,21-Aug-26,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,7000
157,Karnataka,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18082/2025-2026/187502,TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA),GOVIND MAKTHAPPA KARJOL,CHITRADURGA(SC),10-Aug-26,KRIDL BHUSIRI ACCOUNT WORKS,Payment In-Progress,250000
158,Karnataka,Construction of community centers and community halls,WS/MP18093/2026-2027/228510,TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA),V. SOMANNA,TUMKUR,02-Jul-26,KRIDL BHUSIRI ACCOUNT WORKS,Payment In-Progress,750000
159,Karnataka,Construction of community centers and community halls,WS/MP18086/2026-2027/292888,HASSAN(DEPUTY COMMISSIONER HASSAN_IDA),SHREYAS. M. PATEL,HASSAN,24-Aug-26,KRIDL BHUSIRI ACCOUNT WORKS,Payment In-Progress,750000
160,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214638,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),ZIA UR REHMAN,SAMBHAL,20-Aug-26,R G SUPLLIER,Payment In-Progress,36159
161,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214639,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),ZIA UR REHMAN,SAMBHAL,20-Aug-26,R G SUPLLIER,Payment In-Progress,36159
162,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214753,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),ZIA UR REHMAN,SAMBHAL,20-Aug-26,R G SUPLLIER,Payment In-Progress,36159
163,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214742,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),ZIA UR REHMAN,SAMBHAL,20-Aug-26,R G SUPLLIER,Payment In-Progress,36159
164,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214643,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),ZIA UR REHMAN,SAMBHAL,20-Aug-26,R G SUPLLIER,Payment In-Progress,36159
165,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214767,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),ZIA UR REHMAN,SAMBHAL,20-Aug-26,R G SUPLLIER,Payment In-Progress,36159
166,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214751,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),ZIA UR REHMAN,SAMBHAL,20-Aug-26,R G SUPLLIER,Payment In-Progress,36159
167,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214771,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),ZIA UR REHMAN,SAMBHAL,20-Aug-26,R G SUPLLIER,Payment In-Progress,36159
168,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214768,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),ZIA UR REHMAN,SAMBHAL,20-Aug-26,R G SUPLLIER,Payment In-Progress,36159
169,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214761,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),ZIA UR REHMAN,SAMBHAL,20-Aug-26,R G SUPLLIER,Payment In-Progress,36159
170,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214772,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),ZIA UR REHMAN,SAMBHAL,20-Aug-26,R G SUPLLIER,Payment In-Progress,36159
171,Odisha,Construction of community centers and community halls,WS/MP300/2026-2027/257860,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),Smt Aparajita Sarangi,BHUBANESWAR,21-Aug-26,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,4000
172,Karnataka,Installing tube-wells and borewells,WS/MP18093/2026-2027/217130,TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA),V. SOMANNA,TUMKUR,27-Jul-26,KRIDL BHUSIRI ACCOUNT WORKS,Payment In-Progress,375000
173,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184339,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
174,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184342,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
175,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP856/2025-2026/231387,LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA),Rajnath Singh,LUCKNOW,08-Aug-26,MRK CONSTRUCTIONS,Payment In-Progress,133800
176,Punjab,Purchase of mobile water tankers,WS/MP18311/2026-2027/287163,S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA),MALVINDER SINGH KANG,ANANDPUR SAHIB,10-Aug-26,DASHMESH ENGG WORKS,Payment In-Progress,350000
177,Punjab,Construction of additional rooms and halls in the existing public and community building,WS/MP18314/2025-2026/256967,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,26-Aug-26,Sidhu Cement Store Fatehgarh Channa,Payment In-Progress,44630
178,Punjab,Construction of additional rooms and halls in the existing public and community building,WS/MP18314/2025-2026/256967,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,26-Aug-26,Sidhu Cement Store Fatehgarh Channa,Payment In-Progress,17920
179,Jharkhand,Installing tube-wells and borewells,WS/MP334/2025-2026/223476,BOKARO(DEPUTY COMMISSIONER BOKARO_IDA),Shri Chandra Prakash Choudhary,GIRIDIH,26-Aug-26,JUNIOR ENGINEER RDSD BOKARO,Payment In-Progress,70000
180,Jharkhand,Installing tube-wells and borewells,WS/MP334/2025-2026/223481,BOKARO(DEPUTY COMMISSIONER BOKARO_IDA),Shri Chandra Prakash Choudhary,GIRIDIH,26-Aug-26,JUNIOR ENGINEER RDSD BOKARO,Payment In-Progress,25000
181,Jharkhand,Installing tube-wells and borewells,WS/MP334/2025-2026/211258,BOKARO(DEPUTY COMMISSIONER BOKARO_IDA),Shri Chandra Prakash Choudhary,GIRIDIH,26-Aug-26,JUNIOR ENGINEER RDSD BOKARO,Payment In-Progress,25000
182,Jharkhand,Construction of public staircase/ stair ghat for public convenience,WS/MP334/2025-2026/211607,BOKARO(DEPUTY COMMISSIONER BOKARO_IDA),Shri Chandra Prakash Choudhary,GIRIDIH,26-Aug-26,JUNIOR ENGINEER RDSD BOKARO,Payment In-Progress,25000
183,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP494/2025-2026/226499,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Prof SP Singh Baghel,AGRA(SC),26-Aug-26,TANYA CONSTRUCTION,Payment In-Progress,979484
184,Punjab,Construction of additional rooms and halls in the existing public and community building,WS/MP18314/2025-2026/256967,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,26-Aug-26,Dhanaula BKO,Payment In-Progress,6560
185,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP494/2025-2026/226492,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Prof SP Singh Baghel,AGRA(SC),26-Aug-26,SAI ENTERPRISES,Payment In-Progress,556999
186,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP494/2025-2026/226479,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Prof SP Singh Baghel,AGRA(SC),26-Aug-26,SAI ENTERPRISES,Payment In-Progress,665840
187,Tamil Nadu,Lighting of public spaces,WS/MP18179/2026-2027/245271,Mayiladuthurai(District Collector Mayiladuthurai_IDA),SUDHA R,MAYILADUTHURAI,24-Aug-26,SRI SAI ENTERPRISES,Payment In-Progress,900000
188,Karnataka,Setting up of laboratories,WS/MP18078/2026-2027/248997,BALLARI(DEPUTY COMMISSIONER BELLARY_IDA),E. TUKARAM,BELLARY(ST),24-Aug-26,Bellary Nirmithi Kendra Bellary,Payment In-Progress,1125000
189,Tamil Nadu,Purchase of books and periodicals for libraries/digitization of library books,WS/MP746/2025-2026/212906,RAMANATHAPURAM(DISTRICT COLLECTOR RAMANATHAPURAM_IDA),Kani K Navas,RAMANATHAPURAM,01-Apr-26,Nava India Pathipagam,Payment In-Progress,500000
190,Punjab,Construction of rooms and halls in school and colleges,WS/MP381/2026-2027/275251,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),Shri Gurjeet Singh Aujla,AMRITSAR,25-Aug-26,SURINDER TRADERS,Payment In-Progress,495474
191,Punjab,Construction of rooms and halls in school and colleges,WS/MP381/2026-2027/275258,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),Shri Gurjeet Singh Aujla,AMRITSAR,25-Aug-26,SURINDER TRADERS,Payment In-Progress,498148
192,Tamil Nadu,Street lights,WS/MP18177/2025-2026/156784,TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA),K E PRAKASH,ERODE,16-Apr-26,QUALITTY ENTERPRISES,Payment In-Progress,400000
193,Andhra Pradesh,Setting up public non-conventional energy plants,WS/MP522/2025-2026/260876,SRIKAKULAM(District Collector Srikakulam_IDA),Kinjarapu Ram Mohan Naidu,SRIKAKULAM,13-Aug-26,VIRAT MODY SOLAR SITY,Payment In-Progress,888865
194,Punjab,Construction of additional rooms and halls in the existing public and community building,WS/MP18314/2025-2026/256967,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,26-Aug-26,BHAGWATI STEELS,Payment In-Progress,240226
195,Punjab,Construction of additional rooms and halls in the existing public and community building,WS/MP18314/2025-2026/256967,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,26-Aug-26,Karan Intelock Tiles,Payment In-Progress,34380
196,Punjab,Construction of additional rooms and halls in the existing public and community building,WS/MP18314/2025-2026/256967,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,26-Aug-26,Karan Intelock Tiles,Payment In-Progress,21201
197,Madhya Pradesh,Purchase of mobile water tankers,WS/MP18102/2026-2027/294331,DHAR(DISTRICT COLLECTOR DHAR_IDA),SAVITRI THAKUR,DHAR(ST),21-Aug-26,M P  AGRO DHAR,Payment In-Progress,80000
198,Madhya Pradesh,Purchase of mobile water tankers,WS/MP18102/2026-2027/294330,DHAR(DISTRICT COLLECTOR DHAR_IDA),SAVITRI THAKUR,DHAR(ST),21-Aug-26,M P  AGRO DHAR,Payment In-Progress,80000
199,Madhya Pradesh,Purchase of mobile water tankers,WS/MP18102/2026-2027/294328,DHAR(DISTRICT COLLECTOR DHAR_IDA),SAVITRI THAKUR,DHAR(ST),21-Aug-26,M P  AGRO DHAR,Payment In-Progress,80000
200,Madhya Pradesh,Purchase of mobile water tankers,WS/MP18102/2026-2027/294329,DHAR(DISTRICT COLLECTOR DHAR_IDA),SAVITRI THAKUR,DHAR(ST),21-Aug-26,M P  AGRO DHAR,Payment In-Progress,80000
201,Madhya Pradesh,Purchase of mobile water tankers,WS/MP18102/2026-2027/294341,DHAR(DISTRICT COLLECTOR DHAR_IDA),SAVITRI THAKUR,DHAR(ST),21-Aug-26,M P  AGRO DHAR,Payment In-Progress,80000
202,Madhya Pradesh,Purchase of mobile water tankers,WS/MP18102/2026-2027/294343,DHAR(DISTRICT COLLECTOR DHAR_IDA),SAVITRI THAKUR,DHAR(ST),21-Aug-26,M P  AGRO DHAR,Payment In-Progress,80000
203,Madhya Pradesh,Purchase of mobile water tankers,WS/MP18102/2026-2027/294345,DHAR(DISTRICT COLLECTOR DHAR_IDA),SAVITRI THAKUR,DHAR(ST),21-Aug-26,M P  AGRO DHAR,Payment In-Progress,80000
204,Madhya Pradesh,Purchase of mobile water tankers,WS/MP18102/2026-2027/294347,DHAR(DISTRICT COLLECTOR DHAR_IDA),SAVITRI THAKUR,DHAR(ST),21-Aug-26,M P  AGRO DHAR,Payment In-Progress,80000
205,Madhya Pradesh,Purchase of mobile water tankers,WS/MP18102/2026-2027/294348,DHAR(DISTRICT COLLECTOR DHAR_IDA),SAVITRI THAKUR,DHAR(ST),21-Aug-26,M P  AGRO DHAR,Payment In-Progress,80000
206,Madhya Pradesh,Purchase of mobile water tankers,WS/MP18102/2026-2027/292846,DHAR(DISTRICT COLLECTOR DHAR_IDA),SAVITRI THAKUR,DHAR(ST),21-Aug-26,M P  AGRO DHAR,Payment In-Progress,80000
207,Madhya Pradesh,Purchase of mobile water tankers,WS/MP18102/2026-2027/292853,DHAR(DISTRICT COLLECTOR DHAR_IDA),SAVITRI THAKUR,DHAR(ST),21-Aug-26,M P  AGRO DHAR,Payment In-Progress,80000
208,Madhya Pradesh,Purchase of mobile water tankers,WS/MP18102/2026-2027/292854,DHAR(DISTRICT COLLECTOR DHAR_IDA),SAVITRI THAKUR,DHAR(ST),21-Aug-26,M P  AGRO DHAR,Payment In-Progress,80000
209,Madhya Pradesh,Purchase of mobile water tankers,WS/MP18102/2026-2027/292847,DHAR(DISTRICT COLLECTOR DHAR_IDA),SAVITRI THAKUR,DHAR(ST),21-Aug-26,M P  AGRO DHAR,Payment In-Progress,80000
210,Madhya Pradesh,Purchase of mobile water tankers,WS/MP18102/2026-2027/292849,DHAR(DISTRICT COLLECTOR DHAR_IDA),SAVITRI THAKUR,DHAR(ST),21-Aug-26,M P  AGRO DHAR,Payment In-Progress,80000
211,Madhya Pradesh,Purchase of mobile water tankers,WS/MP18102/2026-2027/294836,DHAR(DISTRICT COLLECTOR DHAR_IDA),SAVITRI THAKUR,DHAR(ST),21-Aug-26,M P  AGRO DHAR,Payment In-Progress,80000
212,Madhya Pradesh,Purchase of mobile water tankers,WS/MP18102/2026-2027/294839,DHAR(DISTRICT COLLECTOR DHAR_IDA),SAVITRI THAKUR,DHAR(ST),21-Aug-26,M P  AGRO DHAR,Payment In-Progress,80000
213,Madhya Pradesh,Purchase of mobile water tankers,WS/MP18102/2026-2027/292855,DHAR(DISTRICT COLLECTOR DHAR_IDA),SAVITRI THAKUR,DHAR(ST),21-Aug-26,M P  AGRO DHAR,Payment In-Progress,80000
214,Madhya Pradesh,Purchase of mobile water tankers,WS/MP18102/2026-2027/298708,DHAR(DISTRICT COLLECTOR DHAR_IDA),SAVITRI THAKUR,DHAR(ST),21-Aug-26,M P  AGRO DHAR,Payment In-Progress,80000
215,Madhya Pradesh,Purchase of mobile water tankers,WS/MP18102/2026-2027/298710,DHAR(DISTRICT COLLECTOR DHAR_IDA),SAVITRI THAKUR,DHAR(ST),21-Aug-26,M P  AGRO DHAR,Payment In-Progress,80000
216,Madhya Pradesh,Purchase of mobile water tankers,WS/MP18102/2026-2027/298711,DHAR(DISTRICT COLLECTOR DHAR_IDA),SAVITRI THAKUR,DHAR(ST),21-Aug-26,M P  AGRO DHAR,Payment In-Progress,80000
217,Madhya Pradesh,Purchase of mobile water tankers,WS/MP18102/2026-2027/298713,DHAR(DISTRICT COLLECTOR DHAR_IDA),SAVITRI THAKUR,DHAR(ST),21-Aug-26,M P  AGRO DHAR,Payment In-Progress,80000
